"Performance Index, Trend"
"All Districts, All Schools, All Students"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."

"",,,,"2015-16",,,"2016-17",,,"2017-18",,
"District Name","District Code","School Name","School Code","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex","ELAPerformanceIndex","MathPerformanceIndex","SciencePerformanceIndex"
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",72.4,66.5,"N/A",75.9,68.3,58.9,75.9,68.7,"N/A"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",70.5,65.9,57.0,67.4,65.8,58.6,69.3,64.0,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",56.9,47.2,47.3,54.2,44.2,48.6,53.0,46.5,"N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",66.1,55.3,52.2,63.0,55.2,46.9,62.7,52.0,"N/A"
"Capitol Region Education Council","=""2410014""","IPM @ Plainville High School","=""2419414""","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",66.7,61.7,54.3,62.4,60.1,50.4,61.7,59.1,"N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*","*","*","*","*","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*","*","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",63.1,51.1,53.6,61.3,49.3,48.7,62.3,51.1,"N/A"
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",68.5,61.7,57.9,67.7,62.4,53.5,67.8,59.0,"N/A"
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",66.8,63.4,47.5,68.3,64.1,56.0,67.9,64.0,"N/A"
"Capitol Region Education Council","=""2410014""","PSA Civic Leadership High School","=""2415214""",51.4,43.6,43.3,46.4,41.2,43.4,48.4,41.4,"N/A"
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",65.4,58.0,46.4,67.1,63.8,51.5,67.7,62.4,"N/A"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",39.3,41.8,12.1,41.2,43.7,21.3,46.3,42.2,"N/A"
"Capitol Region Education Council","=""2410014""","River Street School Birken Campus","=""2419514""",19.6,20.5,"*",33.3,34.8,"*",33.7,40.6,"N/A"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","N/A","N/A","N/A","*","*","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Science and Innovation","=""2411314""","N/A","N/A","N/A","*","*","*","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Bristol Central HS","=""2411614""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Chippens Hill MS Bristol","=""2411514""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","*","*","*","*","*","*","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",57.1,49.5,47.7,50.3,46.2,49.5,"N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",64.2,56.6,59.7,68.5,57.9,58.5,65.0,54.4,"N/A"
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",70.1,66.2,56.0,71.8,69.8,61.1,68.2,64.1,"N/A"
"EdAdvance","=""2420014""","ACCESS - North","=""2420114""","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","*","*","N/A","*","*","*","*","*","N/A"
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","*","*","*",36.0,38.0,18.7,46.0,46.6,"N/A"
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",20.2,17.1,"*",33.9,34.9,"*",31.7,34.9,"N/A"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",69.6,63.6,57.7,67.5,62.9,56.0,69.3,63.8,"N/A"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",47.3,32.6,41.1,42.2,29.9,37.5,43.5,27.6,"N/A"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*","*","*","*","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",40.1,26.5,34.8,41.0,28.3,31.9,36.4,23.9,"N/A"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",59.8,52.9,48.7,62.0,56.1,52.0,63.7,56.0,"N/A"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",32.1,25.4,29.7,34.5,31.5,32.7,39.8,36.7,"N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*","*","*","*","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","*","*","*","*","*",23.8,"*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","*","*","*","*","*","*","*","*","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",64.1,51.4,48.8,63.7,51.3,47.3,62.2,54.2,"N/A"
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",47.8,41.2,43.6,47.6,43.4,42.2,48.3,45.7,"N/A"
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""",65.5,50.3,42.6,64.9,53.0,52.3,66.9,53.7,"N/A"
"Learn","=""2450014""","LEARN Diagnostic and Wellness Center","=""2451414""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Learn","=""2450014""","Learn ABA Program at Center School","=""2451214""","*","*","*","*","*","*","*","*","N/A"
"Learn","=""2450014""","Learn High School","=""2450614""","N/A","N/A","*","*","*","*","N/A","N/A","N/A"
"Learn","=""2450014""","Learn Intensive Program","=""2451114""","*","*","N/A","*","*","*","*","*","N/A"
"Learn","=""2450014""","Learn Kelly Middle School Intensive Program","=""2450914""","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Learn","=""2450014""","Learn Ledyard RICHES Program","=""2450714""","*","*","N/A","*","*","N/A","N/A","N/A","N/A"
"Learn","=""2450014""","Learn Pathways Program","=""2450514""","*","*","*","*","*","*","N/A","N/A","N/A"
"Learn","=""2450014""","Learn SAILS Middle School Program","=""2450814""","*","*","*","*","*","*","*","*","N/A"
"Learn","=""2450014""","Learn SAILS Program at Salem","=""2451014""","*","*","*","*","*","*","N/A","N/A","N/A"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",70.9,62.5,69.8,65.2,58.7,75.1,71.5,64.7,"N/A"
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""",69.9,59.9,61.6,65.0,58.8,52.6,66.4,56.6,"N/A"
"Learn","=""2450014""","Riverside Magnet School at Goodwin College","=""2450314""","N/A","N/A","N/A",65.3,52.6,"N/A",62.3,52.3,"N/A"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""",59.8,60.1,"N/A",59.1,52.1,"N/A",57.6,51.3,"N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",59.1,47.7,49.5,52.3,42.7,44.9,52.5,45.7,"N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",29.6,26.8,"*",32.1,24.5,32.4,35.0,25.4,"N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",48.7,38.2,51.9,50.0,42.5,51.3,49.8,43.6,"N/A"
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",61.1,52.0,46.4,59.4,52.5,46.2,59.8,53.6,"N/A"
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",68.5,60.0,55.5,66.3,61.1,53.7,65.7,59.8,"N/A"
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",64.5,57.0,52.1,68.2,60.2,52.1,67.1,58.3,"N/A"
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",57.4,44.4,48.6,57.4,46.4,44.5,56.4,45.2,"N/A"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",48.0,41.6,52.2,57.5,48.0,45.9,54.8,49.0,"N/A"
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",48.1,45.1,41.0,50.7,47.2,39.4,55.7,45.0,"N/A"
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",69.9,65.9,52.9,69.2,69.3,51.9,67.7,67.3,"N/A"
"Explorations District","=""2720013""","Explorations","=""2726113""",51.3,44.9,"*","*","*","*",51.3,42.5,"N/A"
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""",44.2,34.7,39.1,37.5,33.5,39.4,45.3,32.3,"N/A"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",67.4,63.5,45.6,64.9,63.0,42.8,66.8,64.6,"N/A"
"New Beginnings Inc Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""",59.8,51.9,44.5,56.8,47.4,44.2,55.1,45.0,"N/A"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",32.5,31.2,31.2,"*","*","*",34.1,31.8,"N/A"
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",60.8,53.6,48.2,59.4,49.9,47.3,57.9,52.5,"N/A"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",65.1,61.6,43.4,64.8,62.6,43.1,69.3,65.5,"N/A"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",59.6,52.4,41.8,54.9,50.5,39.6,54.6,48.1,"N/A"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",64.1,56.6,42.4,65.7,60.0,40.6,68.5,63.8,"N/A"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",68.1,63.0,42.9,68.4,63.4,44.6,70.3,66.0,"N/A"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",82.9,78.8,"N/A",79.3,69.7,"N/A",76.2,73.1,"N/A"
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A"
"Path Academy District","=""2930013""","Path Academy","=""2930113""","*","*","*","*","*","*","*","*","N/A"
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""",49.9,42.9,"N/A",47.0,43.2,39.1,46.5,45.0,"N/A"
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","N/A","N/A","N/A",75.2,75.4,"N/A",74.4,69.9,"N/A"
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""","N/A","N/A","N/A","N/A","N/A","N/A",80.0,84.2,"N/A"
"Capital Preparatory Harbor School District","=""2970013""","Capital Preparatory Harbor School","=""2970113""",53.0,41.0,40.8,59.6,52.1,47.3,59.6,52.1,"N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""","*","*","*","*","*","*","*","*","N/A"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","*","*","*","*","*","*","*","*","N/A"
"Unified School District #2","=""3470015""","Virtual Academy","=""3470215""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","N/A","N/A","*","*","*","*","N/A","N/A","N/A"
"Connecticut Technical Education and Career System","=""9000016""","A. I. Prince Technical High School","=""9001516""",42.0,35.4,41.7,42.2,35.7,37.1,39.4,37.5,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",45.6,44.0,44.9,47.9,42.6,42.7,44.5,42.7,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",46.4,43.2,55.7,49.3,46.7,49.5,42.1,41.5,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","Eli Whitney Technical High School","=""9001416""",39.8,38.0,40.3,41.8,38.1,38.9,39.8,38.2,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","Ella T. Grasso Technical High School","=""9002716""",50.1,45.6,55.5,50.1,48.1,54.3,48.6,45.9,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",47.0,41.7,53.1,49.2,43.5,50.9,45.7,42.4,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",51.8,47.9,56.4,54.5,48.7,54.2,49.8,47.4,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",49.4,44.5,60.7,52.2,50.6,61.4,48.8,50.0,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","Henry Abbott Technical High School","=""9001216""",53.3,48.3,55.9,52.1,49.0,50.4,49.7,47.1,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","Howell Cheney Technical High School","=""9001616""",50.4,47.3,50.3,49.7,47.4,44.8,44.9,43.3,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","J. M. Wright Technical High School","=""9002116""","N/A","N/A",50.9,45.2,43.8,46.8,44.6,42.0,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","Norwich Technical High School","=""9002016""",54.0,50.8,60.4,53.0,50.1,58.2,50.5,49.3,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",55.4,49.6,57.5,52.4,48.4,52.4,49.6,46.5,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","Platt Technical High School","=""9002616""",50.9,45.9,52.8,51.4,49.1,50.5,49.8,46.0,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","Vinal Technical High School","=""9001816""",48.7,43.4,53.0,48.6,45.1,49.0,46.3,43.8,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",53.7,47.9,56.8,55.1,50.6,53.0,50.8,48.3,"N/A"
"Connecticut Technical Education and Career System","=""9000016""","Windham Technical High School","=""9002416""",51.1,49.1,54.6,50.5,48.6,53.2,48.2,46.8,"N/A"
"Norwich Free Academy District","=""9010022""","Alternative Pathways to Success","=""9010322""","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","*","*","N/A","*","*","N/A","N/A","N/A","N/A"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",58.0,52.4,54.9,56.8,53.9,51.0,54.9,53.3,"N/A"
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",59.6,53.4,52.7,58.0,51.1,51.3,56.4,53.2,"N/A"
"The Woodstock Academy District","=""9030022""","The Woodstock Academy","=""9036122""",62.3,61.9,64.5,65.3,61.3,59.6,61.8,60.5,"N/A"

